countryCode,month,year,country,popData2018,deaths,cases
AND,3,2020,Andorra,77006.0,8,370
AND,4,2020,Andorra,77006.0,34,373
AND,5,2020,Andorra,77006.0,9,21
ALB,3,2020,Albania,2866376.0,12,223
ALB,4,2020,Albania,2866376.0,19,543
ALB,5,2020,Albania,2866376.0,2,333
ARM,1,2020,Armenia,2951776.0,0,0
ARM,2,2020,Armenia,2951776.0,0,0
ARM,3,2020,Armenia,2951776.0,3,482
ARM,4,2020,Armenia,2951776.0,27,1450
ARM,5,2020,Armenia,2951776.0,90,6744
ARM,12,2019,Armenia,2951776.0,0,0
AUT,1,2020,Austria,8847037.0,0,0
AUT,2,2020,Austria,8847037.0,0,7
AUT,3,2020,Austria,8847037.0,108,9611
AUT,4,2020,Austria,8847037.0,472,5746
AUT,5,2020,Austria,8847037.0,88,1230
AUT,12,2019,Austria,8847037.0,0,0
AZE,1,2020,Azerbaijan,9942334.0,0,0
AZE,2,2020,Azerbaijan,9942334.0,0,1
AZE,3,2020,Azerbaijan,9942334.0,4,272
AZE,4,2020,Azerbaijan,9942334.0,19,1493
AZE,5,2020,Azerbaijan,9942334.0,35,3223
AZE,12,2019,Azerbaijan,9942334.0,0,0
BIH,3,2020,Bosnia_and_Herzegovina,3323929.0,8,353
BIH,4,2020,Bosnia_and_Herzegovina,3323929.0,54,1235
BIH,5,2020,Bosnia_and_Herzegovina,3323929.0,91,897
BEL,1,2020,Belgium,11422068.0,0,0
BEL,2,2020,Belgium,11422068.0,0,1
BEL,3,2020,Belgium,11422068.0,513,11898
BEL,4,2020,Belgium,11422068.0,6988,35960
BEL,5,2020,Belgium,11422068.0,1942,10202
BEL,12,2019,Belgium,11422068.0,0,0
BGR,3,2020,Bulgaria,7024216.0,8,359
BGR,4,2020,Bulgaria,7024216.0,56,1088
BGR,5,2020,Bulgaria,7024216.0,75,1052
BLR,1,2020,Belarus,9485386.0,0,0
BLR,2,2020,Belarus,9485386.0,0,1
BLR,3,2020,Belarus,9485386.0,0,104
BLR,4,2020,Belarus,9485386.0,84,13076
BLR,5,2020,Belarus,9485386.0,140,27583
BLR,12,2019,Belarus,9485386.0,0,0
CHE,1,2020,Switzerland,8516543.0,0,0
CHE,2,2020,Switzerland,8516543.0,0,12
CHE,3,2020,Switzerland,8516543.0,295,15400
CHE,4,2020,Switzerland,8516543.0,1112,13912
CHE,5,2020,Switzerland,8516543.0,249,1421
CHE,12,2019,Switzerland,8516543.0,0,0
CYP,3,2020,Cyprus,1189265.0,7,230
CYP,4,2020,Cyprus,1189265.0,8,613
CYP,5,2020,Cyprus,1189265.0,2,98
CZE,1,2020,Czechia,10625695.0,0,0
CZE,2,2020,Czechia,10625695.0,0,0
CZE,3,2020,Czechia,10625695.0,24,3002
CZE,4,2020,Czechia,10625695.0,203,4577
CZE,5,2020,Czechia,10625695.0,92,1617
CZE,12,2019,Czechia,10625695.0,0,0
DEU,1,2020,Germany,82927922.0,0,5
DEU,2,2020,Germany,82927922.0,0,52
DEU,3,2020,Germany,82927922.0,583,61856
DEU,4,2020,Germany,82927922.0,5705,97206
DEU,5,2020,Germany,82927922.0,2201,22077
DEU,12,2019,Germany,82927922.0,0,0
DNK,1,2020,Denmark,5797446.0,0,0
DNK,2,2020,Denmark,5797446.0,0,2
DNK,3,2020,Denmark,5797446.0,77,2575
DNK,4,2020,Denmark,5797446.0,366,6431
DNK,5,2020,Denmark,5797446.0,125,2585
DNK,12,2019,Denmark,5797446.0,0,0
EST,1,2020,Estonia,1320884.0,0,0
EST,2,2020,Estonia,1320884.0,0,1
EST,3,2020,Estonia,1320884.0,3,714
EST,4,2020,Estonia,1320884.0,47,951
EST,5,2020,Estonia,1320884.0,17,193
EST,12,2019,Estonia,1320884.0,0,0
GRC,1,2020,Greece,10727668.0,0,0
GRC,2,2020,Greece,10727668.0,0,4
GRC,3,2020,Greece,10727668.0,43,1208
GRC,4,2020,Greece,10727668.0,96,1364
GRC,5,2020,Greece,10727668.0,36,333
GRC,12,2019,Greece,10727668.0,0,0
ESP,1,2020,Spain,46723749.0,0,0
ESP,2,2020,Spain,46723749.0,0,54
ESP,3,2020,Spain,46723749.0,7340,104213
ESP,4,2020,Spain,46723749.0,17203,110916
ESP,5,2020,Spain,46723749.0,2578,23381
ESP,12,2019,Spain,46723749.0,0,0
FIN,1,2020,Finland,5518050.0,0,1
FIN,2,2020,Finland,5518050.0,0,2
FIN,3,2020,Finland,5518050.0,13,1310
FIN,4,2020,Finland,5518050.0,193,3593
FIN,5,2020,Finland,5518050.0,108,1870
FIN,12,2019,Finland,5518050.0,0,0
FRO,3,2020,Faroe_Islands,48497.0,0,168
FRO,4,2020,Faroe_Islands,48497.0,0,19
FRO,5,2020,Faroe_Islands,48497.0,0,0
FRA,1,2020,France,66987244.0,0,6
FRA,2,2020,France,66987244.0,2,51
FRA,3,2020,France,66987244.0,3022,44493
FRA,4,2020,France,66987244.0,21063,83892
FRA,5,2020,France,66987244.0,4627,21226
FRA,12,2019,France,66987244.0,0,0
GEO,1,2020,Georgia,3731000.0,0,0
GEO,2,2020,Georgia,3731000.0,0,2
GEO,3,2020,Georgia,3731000.0,0,96
GEO,4,2020,Georgia,3731000.0,6,419
GEO,5,2020,Georgia,3731000.0,6,229
GEO,12,2019,Georgia,3731000.0,0,0
GGY,3,2020,Guernsey,63026.0,0,45
GGY,4,2020,Guernsey,63026.0,13,206
GGY,5,2020,Guernsey,63026.0,0,1
GIB,3,2020,Gibraltar,33718.0,0,69
GIB,4,2020,Gibraltar,33718.0,0,72
GIB,5,2020,Gibraltar,33718.0,0,20
HRV,1,2020,Croatia,4089400.0,0,0
HRV,2,2020,Croatia,4089400.0,0,5
HRV,3,2020,Croatia,4089400.0,6,785
HRV,4,2020,Croatia,4089400.0,61,1272
HRV,5,2020,Croatia,4089400.0,36,183
HRV,12,2019,Croatia,4089400.0,0,0
HUN,3,2020,Hungary,9768785.0,16,492
HUN,4,2020,Hungary,9768785.0,296,2283
HUN,5,2020,Hungary,9768785.0,205,1066
IRL,1,2020,Ireland,4853506.0,0,0
IRL,2,2020,Ireland,4853506.0,0,0
IRL,3,2020,Ireland,4853506.0,54,2910
IRL,4,2020,Ireland,4853506.0,1136,17343
IRL,5,2020,Ireland,4853506.0,455,4623
IRL,12,2019,Ireland,4853506.0,0,0
IMN,3,2020,Isle_of_Man,84077.0,0,42
IMN,4,2020,Isle_of_Man,84077.0,21,271
IMN,5,2020,Isle_of_Man,84077.0,3,23
ISL,1,2020,Iceland,353574.0,0,0
ISL,2,2020,Iceland,353574.0,0,1
ISL,3,2020,Iceland,353574.0,2,1085
ISL,4,2020,Iceland,353574.0,8,711
ISL,5,2020,Iceland,353574.0,0,8
ISL,12,2019,Iceland,353574.0,0,0
ITA,1,2020,Italy,60431283.0,0,3
ITA,2,2020,Italy,60431283.0,21,885
ITA,3,2020,Italy,60431283.0,11570,100851
ITA,4,2020,Italy,60431283.0,16091,101852
ITA,5,2020,Italy,60431283.0,5547,28657
ITA,12,2019,Italy,60431283.0,0,0
JEY,3,2020,Jersey,106800.0,2,63
JEY,4,2020,Jersey,106800.0,19,223
JEY,5,2020,Jersey,106800.0,8,22
LIE,3,2020,Liechtenstein,37910.0,0,64
LIE,4,2020,Liechtenstein,37910.0,1,19
LIE,5,2020,Liechtenstein,37910.0,0,0
LTU,1,2020,Lithuania,2789533.0,0,0
LTU,2,2020,Lithuania,2789533.0,0,1
LTU,3,2020,Lithuania,2789533.0,7,483
LTU,4,2020,Lithuania,2789533.0,38,891
LTU,5,2020,Lithuania,2789533.0,23,287
LTU,12,2019,Lithuania,2789533.0,0,0
LUX,1,2020,Luxembourg,607728.0,0,0
LUX,2,2020,Luxembourg,607728.0,0,0
LUX,3,2020,Luxembourg,607728.0,22,1988
LUX,4,2020,Luxembourg,607728.0,67,1781
LUX,5,2020,Luxembourg,607728.0,21,243
LUX,12,2019,Luxembourg,607728.0,0,0
LVA,3,2020,Latvia,1926542.0,0,376
LVA,4,2020,Latvia,1926542.0,15,473
LVA,5,2020,Latvia,1926542.0,9,215
MCO,1,2020,Monaco,38682.0,0,0
MCO,2,2020,Monaco,38682.0,0,1
MCO,3,2020,Monaco,38682.0,0,48
MCO,4,2020,Monaco,38682.0,4,46
MCO,5,2020,Monaco,38682.0,1,3
MCO,12,2019,Monaco,38682.0,0,0
MDA,3,2020,Moldova,3545883.0,2,298
MDA,4,2020,Moldova,3545883.0,109,3473
MDA,5,2020,Moldova,3545883.0,177,4125
MNE,3,2020,Montenegro,622345.0,1,91
MNE,4,2020,Montenegro,622345.0,6,231
MNE,5,2020,Montenegro,622345.0,2,2
MKD,1,2020,North_Macedonia,2082958.0,0,0
MKD,2,2020,North_Macedonia,2082958.0,0,1
MKD,3,2020,North_Macedonia,2082958.0,7,284
MKD,4,2020,North_Macedonia,2082958.0,66,1157
MKD,5,2020,North_Macedonia,2082958.0,53,688
MKD,12,2019,North_Macedonia,2082958.0,0,0
MLT,3,2020,Malta,483530.0,0,165
MLT,4,2020,Malta,483530.0,4,298
MLT,5,2020,Malta,483530.0,3,153
NLD,1,2020,Netherlands,17231017.0,0,0
NLD,2,2020,Netherlands,17231017.0,0,2
NLD,3,2020,Netherlands,17231017.0,864,11748
NLD,4,2020,Netherlands,17231017.0,3847,27052
NLD,5,2020,Netherlands,17231017.0,1220,7324
NLD,12,2019,Netherlands,17231017.0,0,0
NOR,1,2020,Norway,5314336.0,0,0
NOR,2,2020,Norway,5314336.0,0,6
NOR,3,2020,Norway,5314336.0,26,4220
NOR,4,2020,Norway,5314336.0,176,3441
NOR,5,2020,Norway,5314336.0,34,744
NOR,12,2019,Norway,5314336.0,0,0
POL,3,2020,Poland,37978548.0,31,2055
POL,4,2020,Poland,37978548.0,593,10585
POL,5,2020,Poland,37978548.0,427,10515
PRT,3,2020,Portugal,10281762.0,140,6408
PRT,4,2020,Portugal,10281762.0,849,18284
PRT,5,2020,Portugal,10281762.0,394,7254
ROU,1,2020,Romania,19473936.0,0,0
ROU,2,2020,Romania,19473936.0,0,3
ROU,3,2020,Romania,19473936.0,44,1949
ROU,4,2020,Romania,19473936.0,631,10026
ROU,5,2020,Romania,19473936.0,565,7004
ROU,12,2019,Romania,19473936.0,0,0
SRB,3,2020,Serbia,6982084.0,13,741
SRB,4,2020,Serbia,6982084.0,160,7983
SRB,5,2020,Serbia,6982084.0,69,2630
RUS,1,2020,Russia,144478050.0,0,0
RUS,2,2020,Russia,144478050.0,0,2
RUS,3,2020,Russia,144478050.0,10,1834
RUS,4,2020,Russia,144478050.0,962,97563
RUS,5,2020,Russia,144478050.0,3402,288224
RUS,12,2019,Russia,144478050.0,0,0
SWE,1,2020,Sweden,10183175.0,0,0
SWE,2,2020,Sweden,10183175.0,0,12
SWE,3,2020,Sweden,10183175.0,146,4016
SWE,4,2020,Sweden,10183175.0,2316,16274
SWE,5,2020,Sweden,10183175.0,1888,16174
SWE,12,2019,Sweden,10183175.0,0,0
SVN,3,2020,Slovenia,2067372.0,11,763
SVN,4,2020,Slovenia,2067372.0,78,655
SVN,5,2020,Slovenia,2067372.0,19,55
SVK,3,2020,Slovakia,5447011.0,0,336
SVK,4,2020,Slovakia,5447011.0,22,1055
SVK,5,2020,Slovakia,5447011.0,6,129
SMR,1,2020,San_Marino,33785.0,0,0
SMR,2,2020,San_Marino,33785.0,0,1
SMR,3,2020,San_Marino,33785.0,25,228
SMR,4,2020,San_Marino,33785.0,16,334
SMR,5,2020,San_Marino,33785.0,1,108
SMR,12,2019,San_Marino,33785.0,0,0
UKR,3,2020,Ukraine,44622516.0,11,480
UKR,4,2020,Ukraine,44622516.0,239,9386
UKR,5,2020,Ukraine,44622516.0,446,13338
GBR,1,2020,United_Kingdom,66488991.0,0,2
GBR,2,2020,United_Kingdom,66488991.0,0,16
GBR,3,2020,United_Kingdom,66488991.0,2043,22123
GBR,4,2020,United_Kingdom,66488991.0,24054,143080
GBR,5,2020,United_Kingdom,66488991.0,12064,106001
GBR,12,2019,United_Kingdom,66488991.0,0,0
VAT,3,2020,Holy_See,1000.0,0,6
VAT,4,2020,Holy_See,1000.0,0,4
VAT,5,2020,Holy_See,1000.0,0,2
XKX,3,2020,Kosovo,1845300.0,1,106
XKX,4,2020,Kosovo,1845300.0,21,693
XKX,5,2020,Kosovo,1845300.0,8,249
