notation,prefLabel
FR03GFQKR,Kourou (French Guiana)
FR02FRLCT,La Ciotat
FR01FRLRH,La Rochelle
FR01FRLDN,Landerneau
FR01FRLAI,Lannion
FR03GFLVT,Larivot (French Guiana)
FR01FRLFR,Le Fret (Crozon)
FR01FRLGU,Le Guildo (Crehen)
FR01FRLEH,Le Havre
FR01FRLLG,Le Légué
FR01FRSBK,Le Legue (St Brieuc)
FR01FRLTR,Le Treport
FR01FRLSO,Les Sables D'Olonne
FR01FRLEZ,Lezardieux
FR02FRILR,L'Ile Rousse
FR01FRLRT,Lorient
FR02FRMRS,Marseille
FR01FRMXN,Morlaix
FR01FRMSG,Mortagne-Sur-Gironde
FR01FRNTE,Nantes Saint-Nazaire
FR02FRNCE,Nice-Villefranche
FR01FRPAI,Paimpol
FR01FRPOX,Pontrieux
FR05REPDG,Port Reunion (ex Pointe-des Galets) (Reunion)
FR02FRPOV,Port Vendres
FR01FRPRJ,Port-Joinville (Ile D'Yeu)
FR02FRNOU,Port-La-Nouvelle
FR02FRPVO,Porto Vecchio
FR02FRPRP,Propriano
FR01FRUIP,Quimper
FR01FRRDN,Redon
FR01FRRCO,Rochefort
FR01FRROS,Roscoff
FR01FRURO,Rouen
FR01FRRYN,Royan
FR02FRSET,Sete
FR03GFSLM,St Laurent du Maroni (French Guiana)
FR01FRSML,St Malo
FR02FRSRL,St Raphael
FR01FRSVS,St Valery-Sur-Somme
FR01FRTON,Tonnay Charente (Rochefort)
FR02FRTLN,Toulon
FR01FRTRE,Treguier
FR01FRVNE,Vannes
FR09FR888,France: other ports (unspecified maritime coastal area)
IT00ITAHO,Alghero
IT00ITALI,Alicudi
IT00ITAMA,Amalfi
IT00ITAOI,Ancona
IT00ITANZ,Anzio
IT00ITATX,Arbatax
IT00ITAUG,Augusta
IT00ITBLN,Bagnoli
IT00ITBAI,Baia
IT00ITBRI,Bari
IT00ITBLT,Barletta
IT00ITBDS,Brindisi
IT00ITCAG,Cagliari
IT00ITCLS,Calasetta
IT00ITCPA,Capraia
IT00ITPRJ,Capri
IT00ITCLF,Carloforte
IT00ITCML,Casamicciola
IT00ITCTR,Castellammare Del Golfo
IT00ITCAS,Castellammare Di Stabia
IT00ITCTA,Catania
IT00ITCVX,Cavo
IT00ITCHI,Chioggia
IT00ITCVV,Civitavecchia
IT00ITCRV,Crotone
IT00ITFAL,Falconara Marittima
IT00ITFAV,Favignana
IT00ITFPO,Filicudi Porto
IT00ITFCO,Fiumicino
IT00ITFOM,Formia
IT00ITGAE,Gaeta
IT00ITGAL,Gallipoli
IT00ITGEA,Gela
IT00ITGOA,Genova
IT00ITGII,Giannutri
IT00ITGIA,Giardini di Naxos
IT00ITGIT,Gioia Tauro
IT00ITGAI,Golfo Aranci
IT00ITGOR,Gorgona
IT00ITGRD,Grado
IT00ITIMP,Imperia
IT00ITIDG,Isola Del Giglio
IT00ITISS,Isola Santo Stefano
IT00ITMDA,La Maddalena
IT00ITSPE,La Spezia
IT00ITLMP,Lampedusa
IT00ITLEV,Levanzo
IT00ITLIC,Licata
IT00ITLIU,Linosa
IT00ITLIP,Lipari
IT00ITLIV,Livorno
IT00ITMFR,Manfredonia
IT00ITMMO,Marettimo
IT00ITMDC,Marina Di Carrara
IT00ITMRA,Marsala
IT00ITMAZ,Mazara Del Vallo
IT00ITMSN,Messina
IT00ITMLZ,Milazzo
IT00ITMOL,Molfetta
IT00ITMNF,Monfalcone
IT00ITMNP,Monopoli
IT00ITNAP,Napoli
IT00ITOLB,Olbia
IT00ITONE,Oneglia
IT00ITQOS,Oristano
IT00ITOTN,Ortona
IT00ITOTO,Otranto
IT00ITPAU,Palau
IT00ITPMO,Palermo
IT00ITPAN,Panarea
IT00ITPNL,Pantelleria
IT00ITPES,Pesaro
IT00ITPSR,Pescara
IT00ITPCH,Peschici
IT00ITPIA,Pianosa
IT00ITPIO,Piombino
IT00ITPFO,Porto Levante
IT00ITPNZ,Ponza
IT00ITPGL,Portiglioni
IT00ITPAZ,Porto Azzurro
IT00ITPCE,Porto Cervo
IT00ITPDI,Porto D'Ischia
IT00ITPEM,Porto Empedocle
IT00ITPFX,Porto Foxi
IT00ITPGA,Porto Garibaldi
IT00ITPLI,Porto Lignano
IT00ITPMZ,Porto Maurizio
IT00ITPNG,Porto Nogaro
IT00ITPSS,Porto Santo Stefano
IT00ITPTO,Porto Torres
IT00ITPFE,Portoferraio
IT00ITPTF,Portofino
IT00ITPVE,Portovesme
IT00ITPOS,Positano
IT00ITPZL,Pozzallo
IT00ITPOZ,Pozzuoli
IT00ITPRO,Procida
IT00ITRAN,Ravenna
IT00ITREG,Reggio Di Calabria
IT00ITRMI,Rimini
IT00ITRMA,Rio Marina
IT00ITRPT,Riposto
IT00ITRGG,Rodi Garganico
IT00ITSDB,S. Benedetto Del Tronto
IT00ITSAL,Salerno
IT00ITSLA,Salina
IT00ITSRE,Sanremo
IT00ITSML,Santa Margherita Ligure
IT00ITSPA,Santa Panagia
IT00ITSTE,Santa Teresa Di Gallura
IT00ITSAT,Sant'Antioco
IT00ITSVC,Santo Vito Lo Capo
IT00ITSVN,Savona
IT00ITSIR,Siracusa
IT00ITRRO,Sorrento
IT00ITSTR,Stromboli
IT00ITTAL,Talamone
IT00ITTAR,Taranto
IT00ITTRI,Termini Imerese
IT00ITTMI,Termoli
IT00ITTRC,Terracina
IT00ITTOA,Torre Annunziata
IT00ITTGR,Torregrande
IT00ITTVC,Torviscosa
IT00ITTNI,Trani
IT00ITTPS,Trapani
IT00ITTMT,Tremiti
IT00ITTRS,Trieste
IT00ITUST,Ustica
IT00ITVDA,Vada
IT00ITVSO,Vasto
IT00ITVCE,Venezia
IT00ITVTT,Ventotene
IT00ITVIA,Viareggio
IT00ITVVA,Vibo Valentia
IT00ITVIE,Vieste
IT00ITVUL,Vulcano Porto
IT00IT88P,IT offshore installations
IT00IT888,Italy: other ports
CY00CYAKT,Akrotiri
CY00CYDHK,Dekeleia (Dhekelia)
CY00CYLCA,Larnaka (Larnaca)
CY00CY01M,Larnaca (Larnaka) Oil Terminal
CY00CYLAT,Latsi (Latchi)
CY00CYLMS,Lemesos (Limassol)
CY00CYMOI,Moni
CY00CYVAS,Vasiliko (Vasilico)
CY00CY888,Cyprus: other ports
LV00LVLPX,Liepaja
LV00LVMRX,Mersrags
LV00LVRIX,Riga
LV00LVROJ,Roja
LV00LVSAL,Salacgriva
LV00LVSKU,Skulte
LV00LVVNT,Ventspils
LV00LV888,Latvia: other ports
LT00LTBOT,Butinge
LT00LTKLJ,Klaipeda
MT00MTCKW,Cirkewwa
MT00MTMLA,Malta (Valletta)
MT00MTMAR,Marsaxlokk
MT00MTMGZ,"Mgarr, Gozo"
MT00MT888,Malta: other ports
NL00NLABL,Alblasserdam
NL00NLAML,Ameland
NL00NLAMS,Amsterdam
NL00NLBGB,Bergambacht
NL00NLBZM,Bergen Op Zoom
NL00NLBEV,Beverwijk
NL00NLBOR,Borsele
NL00NLBRK,Brakel
NL00NLBRS,Breskens
NL00NLCPI,Capelle Aan Den Ijssel
NL00NLCUY,Cuijk
NL00NLDZL,Delfzijl/Eemshaven
NL00NLDHR,Den Helder
NL00NLDEV,Deventer
NL00NLDIN,Dinteloord En Prinsenland
NL00NLDOI,Doetinchem
NL00NLDOK,Dokkum
NL00NLDOR,Dordrecht
NL00NLDRU,Druten
NL00NLFRK,Franekeradeel
NL00NLGTB,Geertruindenberg
NL00NLGNM,Genemuiden
NL00NLGEN,Gennep
NL00NLGDR,Goerdereede
NL00NLGOR,Gorinchem
NL00NLGRQ,Groningen
NL00NLHAN,Hansweert
NL00NLHRX,Hardinxveld-Giessenda
NL00NLHAR,Harlingen
NL00NLHAS,Hasselt
NL00NLHIA,Hendrik-Ido-Ambacht
NL00NLHGL,Hengelo
NL00NLHTN,Hontenisse
NL00NLKAM,Kampen
NL00NLKRP,Krimpen Aan Den Ijsse
NL00NLLAN,Lanwersoog
NL00NLLWR,Leeuwarden
NL00NLLCH,Lochem
NL00NLMSS,Maarssen
NL00NLMSB,Maasbracht
NL00NLMSL,Maassluis
NL00NLMST,Maastricht
NL00NLMEW,Meerlo-Wansum
NL00NLMEP,Meppel
NL00NLMID,Middelburg
NL00NLMIH,Middelharnis
NL00NLMOE,Moerdijk
NL00NLNLK,Nieuw-Lekkerland
NL00NLNIJ,Nijmegen
NL00NLOOS,Oosterhout
NL00NLOSS,Oss
NL00NLOUG,Oud En Nieuw Gastel
NL00NLOAI,Ouderkerk
NL00NLPAP,Papendrecht
NL00NLRAA,Raamsdonk
NL00NLRAS,Ravenstein
NL00NLREW,Reimerswaal
NL00NLRNK,Renkum
NL00NLRHE,Rhenen
NL00NLRID,Ridderkerk
NL00NLOMD,Roermond
NL00NLROO,Roosendaal
NL00NLRTM,Rotterdam
NL00NLROZ,Rozenburg
NL00NLSVG,Sas Van Gent
NL00NLSCE,Scheveningen
NL00NLSCI,Schiedam
NL00NLGRA,S-Gravendeel
NL00NLHTB,S-Hertogenbosch
NL00NLSLD,Sliedrecht
NL00NLSLU,Sluiskil
NL00NLSML,Smallingerland
NL00NLSNK,Sneek
NL00NLSTE,Steenbergen
NL00NLTNZ,Terneuzen
NL00NLTEX,Texel
NL00NLTIE,Tiel
NL00NLUTC,Utrecht
NL00NLVEL,Velsen/Ijmuiden
NL00NLVEN,Venlo
NL00NLVIE,Vierlingsbeek
NL00NLVLA,Vlaardingen
NL00NLVLI,Vlissingen
NL00NLWGW,Wageningen
NL00NLWKD,Werkendam
NL00NLWTE,West-Terschelling
NL00NLWCM,Woudrichem
NL00NLZAA,Zaanstad
NL00NLZWI,Zwijndrecht
NL00NLZWO,Zwolle
NL00NL887,Small inland waterway ports
NL00NL888,Netherlands: other ports
PL00PLDAR,Darlowo
PL00PLELB,Elblag
PL00PL011,Frombork
PL00PLFBK,Frombork
PL00PLGDN,Gdansk
PL00PLGDY,Gdynia
PL00PLHEL,Hel
PL00PLKOL,Kolobrzeg
PL00PLKMR,Krynica Morska
PL00PL012,Krynica Morska
PL00PLMID,Miedzyzdroje
PL00PLNWA,Nowe Warpno
PL00PLPLC,Police
PL00PLSOP,Sopot
PL00PLSPA,Stepnica
PL00PLSWI,Swinoujscie
PL00PLSZZ,Szczecin
PL00PLTBZ,Trzebiez
PL00PLUST,Ustka
PL00PLWLA,Wladyslawowo
PT00PTADH,"Angra do Heroísmo (Ilha da Terceira, Açores)"
PT00PTAVE,Aveiro
PT00PTCDP,"Cais do Pico (Ilha do Pico, Açores)"
PT00PTCNL,Caniçal
PT00PTOPO,Douro (Oporto)
PT00PTFAO,Faro
PT00PTFDF,Figueira da Foz
PT00PTFNC,Funchal (Madeira)
PT00PTHOR,"Horta (Ilha das Faial, Açores)"
PT00PTLAJ,"Lajes das Flores (Ilha das Flores, Açores)"
PT00PTLEI,Leixões
PT00PTLIS,Lisboa
PT00PTMAD,"Madalena (Ilha do Pico, Açores)"
PT00PTPDL,"Ponta Delgada (Ilha de S. Miguel, Açores)"
PT00PTPRM,Portimão
PT00PTPXO,"Porto Santo (Ilha de Porto Santo, Madeira)"
PT00PTPRG,"Praia da Graciosa (Ilha da Graciosa, Açores)"
PT00PTPRV,"Praia da Vitória (Ilha Terceira, Açores)"
PT00PTSET,Setúbal
PT00PTSIE,Sines
PT00PTVEL,"Velas (Ilha de São Jorge, Açores)"
PT00PTVDC,Viana do Castelo
PT00PTVDP,"Vila do Porto (Ilha de Sta Maria, Açores)"
PT00PTVNC,"Vila Nova do Corvo (Ilha do Corvo, Açores)"
RO00ROBAB,Basarabi
RO00ROBRA,Braila
RO00ROCEV,Cernavoda
RO00ROCND,Constanta
RO00ROGAL,Galati
RO00ROLUM,Luminita
RO00ROMAG,Mangalia
RO00ROMED,Medgidia
RO00ROMID,Midia
RO00ROSUL,Sulina
RO00ROTCE,Tulcea
RO00RO888,Romania: other ports
SI00SIIZO,Izola
SI00SIKOP,Koper
SI00SIPIR,Piran
SI00SI888,Slovenia: other ports
FI00FIBRA,Brando
FI00FIDRA,Dragsfjard
FI00FIECK,Eckero
FI00FIESP,Espoo
FI00FIEJO,Eurajoki
FI00FIFAR,Farjsund
FI00FIFOG,Foglo
FI00FIFOR,Forby
FI00FIGDB,Godby
FI00FIHMN,Hamina
FI00FI002,HaminaKotka
FI00FIHKO,Hanko
FI00FIHEL,Helsinki
FI00FIHOU,Houtskar
FI00FIINI,Inio
FI00FIINK,Inkoo
FI00FIISN,Isnas
FI00FIKJO,Kalajoki
FI00FIKNT,Kantvik
FI00FIKAS,Kaskinen
FI00FIKEM,Kemi
FI00FIKIM,Kemio
FI00FIKKR,Kokar
FI00FIKOK,Kokkola
FI00FIKOR,Korpoo
FI00FIKTK,HaminaKotka
FI00FIKVH,Koverhar
FI00FIKRS,Kristinankaupunki
FI00FIKUM,Kumlinge
FI00FILAN,Langnas
FI00FILAP,Lappohja
FI00FILOV,Loviisa
FI00FILUV,Luvia
FI00FIMHQ,Mariehamn
FI00FIMER,Merikarvia
FI00FINLI,Naantali
FI00FINAU,Nauvo
FI00FIOUL,Oulu
FI00FIPAR,Parainen
FI00FIPER,Pernaja
FI00FIPRS,Pietarsaari
FI00FIPOH,Pohjankuru
FI00FIPOR,Pori
FI00FIRAA,Raahe
FI00FIRAU,Rauma
FI00FIRTR,Rautaruukki
FI00FIRUO,Ruotsinpyhtää
FI00FIRYM,Rymattyla
FI00FISAL,Salo
FI00FISIP,Sipoonlahti
FI00FISKV,Skoeldvik
FI00FISKB,Skogby
FI00FIDLS,Taalintehdas
FI00FITVS,Taivassalo
FI00FITAI,Tammisaari
FI00FITEI,Teijo
FI00FITOK,Tolkkinen
FI00FITOR,Tornio
FI00FITKU,Turku
FI00FIUKI,Uusikaupunki
FI00FIVAA,Vaasa
FI00FIVEL,Velkua
FI00FI001,Finland Inland Ports
FI00FI888,Finland: other ports
SE01SEAHU,Ahus
SE01SEALA,Ala
SE02SEALN,Älvenäs
SE02SEAMA,Amal
SE01SEBLV,Ballstaviken
SE01SEBAA,Balsta
SE01SEBEA,Bergkvara
SE01SEBER,Bergs Oljehamn
SE02SEBOH,Bohus
SE01SEBOL,Bollstabruk
SE01SEBVK,Braviken
SE02SEBRO,Brofjorden
SE01SEBYX,Byxelkrok
SE01SEDEG,Degerhamn
SE01SEDOM,Domsjo
SE01SEENK,Enkoping
SE01SEFAK,Fagerviken
SE02SEFAG,Falkenberg
SE02SEFJA,Fjällbacka
SE01SEFLI,Flivik
SE01SEFOR,Forsmark
SE01SEGAM,Gamleby
SE01SEGVX,Gavle
SE02SEGOA,Göta
SE02SEGOT,Goteborg
SE01SEGKV,Grankullavik
SE02SEGRE,Grebbestad
SE01SEGRH,Grisslehamn
SE02SEGRU,Gruvon (ports)
SE01SEGUN,Gunnebo
SE01SEGUB,Gustavberg
SE01SEHAK,Hallstavik
SE02SEHAD,Halmstad
SE01SEHAN,Hargshamn
SE01SEHND,Harnosand
SE01SEHEL,Helsingborg
SE02SEHOG,Hoganas
SE02SEHON,Honsatar
SE01SEHUV,Hudiksvall
SE02SEHUN,Hunnebostrand
SE01SEHUS,Husum
SE01SEIGG,Iggesund
SE01SEJAT,Jatterson
SE01SEKGG,Kagghamra
SE01SEKAX,Kalix
SE01SEKLR,Kalmar
SE01SEKAL,Kalmarsand
SE01SEKPH,Kappelshamn
SE01SEKPS,Kappelskar
SE01SEKXV,Karlsborg Axelvik
SE01SEKAN,Karlshamn
SE01SEKAA,Karlskrona
SE02SEKSD,Karlstad
SE01SEKLI,Klintehamn
SE01SEKOG,Koping
SE02SEKHN,Kristinehamn
SE01SEKUB,Kubikenborg
SE02SEKUN,Kungshamn
SE01SEKVA,Kvarnholmen
SE01SELAA,Landskrona
SE02SELDK,Lidkoping
SE02SELED,Lilla Edet
SE01SELOM,Lomma
SE01SELOT,Löten
SE01SELLA,Lulea
SE01SELUG,Lungvik
SE02SELYS,Lysekil
SE01SEMMA,Malmo
SE02SEMAD,Mariestad
SE01SEMOR,Morbylanga
SE02SENOL,Nol (ports)
SE01SENOG,Nordmaling
SE01SENRK,Norrkoping
SE01SENOT,Norrsundet
SE01SENOE,Norrtalje
SE01SENYO,Nykoping
SE01SENYN,Nynäshamn (ports)
SE01SEOER,Ornskoldsvik
SE01SEOSK,Oskarshamn
SE01SEOST,Ostrand
SE02SEOTT,Otterbacken
SE01SEOXE,Oxelösund (ports)
SE01SEPIT,Pitea
SE01SERNH,Romehamn
SE01SERNB,Ronneby
SE01SERUV,Rundvik
SE02SESAF,Saffle
SE01SESIM,Simrishamn
SE02SESKT,Skattkarr
SE01SESFT,Skelleftea
SE02SESKO,Skoghall (ports)
SE01SESSR,Skutskar
SE01SESLI,Slite (ports)
SE01SESOO,Soderhamn
SE01SESOE,Sodertalje
SE01SESOL,Solvesborg
SE01SESOR,Soraker
SE02SESTE,Stenungsund (Ports)
SE01SESTA,Stocka
SE01SESTO,Stockholm
SE01SESTK,Stockvik
SE01SESTV,Stora Vika
SE01SESUS,Storugns
SE01SESTQ,Strangnas
SE02SESMD,Stromstad
SE01SESDL,Sundsvall
SE02SESUR,Surte
SE01SETOE,Tore
SE01SETRG,Trelleborg
SE02SETHN,Trollhattan (Ports)
SE01SETUN,Tunadal
SE02SEUDD,Uddevalla
SE01SEUME,Umea
SE01SEUND,Underås
SE01SEUPP,Uppsala
SE01SEUTA,Utansjo
SE01SEVAJ,Vaja
SE01SEVAK,Valdemarsvik
SE01SEVAL,Vallvik
SE02SEVAN,Vanersborg
SE02SEVAG,Varberg
SE02SEVGN,Vargon
SE01SEVST,Vasteras
SE01SEVVK,Vastervik
SE01SEVER,Verkebäck
SE01SEVBY,Visby
SE01SEVIV,Vivstavarv
SE02SEWAL,Wallhamn
SE01SEYST,Ystad
SE09SE88C,Sweden: Eurostat estimate for missing data
SE01SE888,Other - Sweden Baltic
SE02SE888,Other - Sweden North Sea
SE09SE88D,Sweden: Other ports
SE09SE888,Sweden: Other ports (unspecified maritime coastal area)
UK01GBABD,Aberdeen
UK01GBAPP,Appledore
UK01GBASG,Ardrishaig
UK01GBAYR,Ayr
UK01GBBLR,Ballylumford
UK01GBBND,Barnstaple
UK01GBCBA,Barra Castlebay
UK01GBBIF,Barrow-In-Furness
UK01GBBAD,Barry
UK01GBBEL,Belfast
UK01GBBWK,Berwick-On-Tweed
UK01GBBID,Bideford
UK01GBBLY,Blyth
UK01GBBOS,Boston
UK01GBBRW,Bridgwater
UK01GBBLS,Brightlingsea
UK01GBBRS,Bristol
UK01GBBRX,Brixham
UK01GBBUC,Buckie
UK01GBBUH,Burghead
UK01GBBPT,Burry Port
UK01GBCYN,Cairnryan
UK01GBCBT,Campbeltown
UK01GBCDF,Cardiff
UK01GBCHF,Charlestown
UK01GBCST,Chichester
UK01GBCYP,Clydeport
UK01GBCOL,Colchester
UK01GBCLR,Coleraine
UK01GBCOR,Corpach
UK01GBCOW,"Cowes, Iow"
UK01GBCNU,Craignure
UK01GBCRN,Cromarty Firt
UK01GBDTM,Dartmouth
UK01GBDNQ,Dean Quarry
UK02IMDGS,"Douglas, Isle of Man"
UK01GBDVR,Dover
UK01GBDUN,Dundee
UK01GB230,Dutch River Warf
UK01GBEXM,Exmouth
UK01GBFAL,Falmouth
UK01GBFHM,Fareham
UK01GBFXT,Felixstowe
UK01GBFIS,Fishguard
UK01GBFLE,Fleetwood
UK01GBFOL,Folkestone
UK01GBFOR,Forth
UK01GBFDK,Fosdyke
UK01GBFOY,Fowey
UK01GBFRB,Fraserburgh
UK01GBGTN,Garston
UK01GBILL,Gill's Bay
UK01GBGIR,Girvan
UK01GBGSA,Glensanda
UK01GBGOO,Goole
UK01GBGTY,Great Yarmouth
UK01GBIMM,Grimsby & Immingham
UK01GBHRW,Harwich
UK01GBHYM,Heysham
UK01GBHLY,Holyhead
UK01GBHWZ,Hugh Town
UK01GBHUL,Hull
UK01GBINK,Inverkeithing
UK01GBINV,Inverness
UK01GBIPS,Ipswich
UK01GBKLR,Kilroot
UK01GBKPS,Kilroot Power Station Jetty
UK01GBKLN,King'S Lynn
UK01GBKWL,Kirkwall
UK01GBLAN,Lancaster
UK01GBLAR,Larne
UK01GBLER,Lerwick
UK01GBLIT,Littlehampton
UK01GBLIV,Liverpool
UK01GBLDO,Llandudno
UK01GBLLD,Llandulas
UK01GB231,Loch Carnan
UK01GBLOL,Lochaline
UK01GBLON,London
UK01GBLDY,Londonderry
UK01GBLOW,Lowestoft
UK01GBMCD,Macduff
UK01GBMGO,Magheramorne
UK01GBMAL,Maldon
UK01GBMNC,Manchester
UK01GBMED,Medway
UK01GBMLF,Milford Haven
UK01GBMIS,Mistley
UK01GBMON,Montrose
UK01GBCHE,Mostyn
UK01GBNEA,Neath
UK01GBNCL,Newcastle-Upon-Tyne
UK01GBNHV,Newhaven
UK01GBNPO,Newport (Isle of Wight)
UK01GBNPT,"Newport, Gwent"
UK01GBOBA,Oban
UK01GBPAD,Padstow
UK01GBPAR,Par
UK01GBPEM,Pembroke
UK01GBPEN,Penzance
UK01GBPER,Perth
UK01GBPHD,Peterhead
UK01GBPLY,Plymouth
UK01GBPOO,Poole
UK01GBPPE,Port Penrhyn
UK01GBPSB,Port Sutton Bridge
UK01GBPTB,Port Talbot
UK01GBPOH,Porthoustock England
UK01GBPTR,Portrush
UK01GBPME,Portsmouth
UK01GBRMG,Ramsgate
UK01GB222,River Ouse
UK01GB221,Rivers Hull & Humber
UK01GBRFD,Rochford
UK01GBRYE,Rye
UK01GBSCR,Scrabster
UK01GBSEA,Seaham
UK01GBSSS,Sharpness
UK01GBSHO,Shoreham
UK01GBSHT,Shotton
UK01GBSIL,Silloth
UK01GBSOU,Southampton
UK01GBSWD,Southwold
UK03JESTH,"St Helier, Jersey"
UK03GGSPT,"St Peter Port, Guernsey"
UK01GBSTO,Stornoway
UK01GBSTR,Stranraer
UK01GBSOY,Stronsay
UK01GBSUL,Sullom Voe
UK01GBSUN,Sunderland
UK01GBSWA,Swansea
UK01GBMME,Tees & Hartlepool
UK01GBTNM,Teignmouth
UK01GBTOR,Torquay
UK01GB203,Trent River
UK01GBTRN,Troon
UK01GBTRU,Truro
UK01GBTYN,Tyne
UK01GBWPT,Warrenpoint
UK01GBWEY,Weymouth
UK01GBWTB,Whitby
UK01GBWHV,Whitehaven
UK01GBWTS,Whitstable
UK01GBWIC,Wick
UK01GBWIS,Wisbech
UK01GBWOR,Workington
UK01GB888,United Kingdom: other ports
UK02IM888,Other - United Kingdom - Isle of Man
UK03GG888,Other - United Kingdom - Guernsey
UK03JE888,Other - United Kingdom - Jersey
HR00HRBAK,Bakar
HR00HRBAS,Baka
HR00HRBNM,Biograd na Moru
HR00HRBOL,Bol
HR00HRBZA,Boava
HR00HRCVT,Cavtat
HR00HRCRS,Cres
HR00HRCRA,Crikvenica
HR00HRDBV,Dubrovnik - Gru passenger port
HR00HRHVA,Hvar - passenger port
